fileName,map,speakerR,speakerL,master,slave,genderR,genderL,masterSlaveR,masterSlaveL
FNL000A,0,001,002,002,001,male,male,slave,master
FNL000B,1,001,002,001,002,male,male,master,slave
FNL001A,0,003,004,003,004,male,male,master,slave
FNL001B,1,003,004,004,003,male,male,slave,master
FNL002A,1,006,005,005,006,male,female,slave,master
FNL002B,0,006,005,006,005,male,female,master,slave
FNL003A,0,200,201,201,200,female,male,slave,master
FNL003B,1,200,201,200,201,female,male,master,slave
FNL004A,1,100,101,100,101,male,female,master,slave
FNL004B,0,100,101,101,100,male,female,slave,master
FNL005A,0,102,103,103,102,female,female,slave,master
FNL005B,1,102,103,102,103,female,female,master,slave
FNL006A,0,104,105,105,104,female,female,slave,master
FNL006B,1,104,105,104,105,female,female,master,slave
FNL007A,0,106,107,107,106,female,male,slave,master
FNL007B,1,106,107,106,107,female,male,master,slave
FNL008A,0,110,111,111,110,female,female,slave,master
FNL008B,1,110,111,110,111,female,female,master,slave
FNL009A,0,112,113,113,112,female,female,slave,master
FNL009B,1,112,113,112,113,female,female,master,slave
FNL010A,0,114,115,115,114,male,male,slave,master
FNL010B,1,114,115,114,115,male,male,master,slave
FNL011A,0,116,117,117,116,female,male,slave,master
FNL011B,1,116,117,116,117,female,male,master,slave
FNL012A,0,118,119,119,118,female,female,slave,master
FNL012B,1,118,119,118,119,female,female,master,slave
FNL013A,0,202,203,203,202,male,female,slave,master
FNL013B,1,202,203,202,203,male,female,master,slave
FNL014A,0,302,303,303,302,female,female,slave,master
FNL014B,1,302,303,302,303,female,female,master,slave
FNL015A,0,304,305,305,304,male,male,slave,master
FNL015B,1,304,305,304,305,male,male,master,slave
